Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,281.170013,283.200012,279.489990,279.700012,245.281433,886500
2017-06-27,279.320007,280.209991,277.829987,277.829987,243.641571,740500
2017-06-28,279.079987,280.920013,278.369995,280.019989,245.562073,955700
2017-06-29,279.850006,279.850006,274.690002,276.730011,242.676987,905200
2017-06-30,277.619995,278.920013,276.320007,277.609985,243.448563,1085900
2017-07-03,277.390015,280.480011,277.200012,278.920013,244.597458,462800
2017-07-05,279.500000,283.720001,279.399994,282.399994,247.649231,869500
2017-07-06,282.000000,283.480011,280.399994,280.959991,246.386490,766000
2017-07-07,281.660004,286.950012,281.500000,285.200012,250.104675,1197200
2017-07-10,285.500000,287.910004,284.220001,285.570007,250.429123,1347800
2017-07-11,285.570007,287.750000,285.059998,286.420013,251.174545,915600
2017-07-12,287.149994,288.769989,286.359985,286.359985,251.121857,812600
2017-07-13,287.119995,287.850006,285.779999,286.760010,251.472717,705100
2017-07-14,287.049988,288.769989,286.709991,288.130005,252.674103,887900
2017-07-17,288.500000,290.059998,287.609985,288.489990,252.989853,1319300
2017-07-18,290.640015,292.970001,286.029999,286.790009,251.499100,1811000
2017-07-19,287.679993,291.279999,287.040009,290.670013,254.901535,1139700
2017-07-20,290.579987,290.739990,288.940002,289.670013,254.024597,1150900
2017-07-21,288.299988,290.070007,286.859985,289.119995,253.542221,1230100
2017-07-24,289.470001,291.239990,289.200012,290.279999,254.559525,768700
2017-07-25,291.480011,292.070007,289.720001,289.829987,254.164917,805200
2017-07-26,290.820007,290.989990,288.769989,289.850006,254.182510,882400
2017-07-27,290.200012,290.489990,286.170013,288.130005,252.674103,1117400
2017-07-28,288.070007,290.769989,286.579987,290.410004,254.673569,1086200
2017-07-31,291.420013,293.839996,291.029999,292.130005,256.181885,1139200
2017-08-01,293.929993,294.329987,291.899994,292.649994,256.637939,1036700
2017-08-02,292.730011,294.839996,292.149994,294.700012,258.435699,983700
2017-08-03,294.000000,295.910004,292.799988,295.820007,259.417786,983600
2017-08-04,296.269989,297.000000,295.040009,297.000000,260.452667,796400
2017-08-07,297.309998,297.730011,296.600006,297.149994,260.584137,769100
2017-08-08,297.790009,300.420013,297.329987,300.100006,263.171143,1009300
